项目/年度,外债流入（十亿美元）,外债流入比上年增长（%）,外债流出（十亿美元）,外债流出比上年增长（%）,外债净流入（十亿美元）,国内生产总值（十亿元人民币）,外债流出/国内生产总值(%),外汇收入（十亿美元）,偿债率（%）
1985,8.33,,0.84,,7.49,896.44,0.3,28.25,2.7
1986,8.72,4.68,6.23,641.67,2.49,1020.22,2.1,29.78,15.4
1987,9.21,5.62,5.12,-17.82,4.09,1196.25,1.6,39.17,9
1988,14.23,54.51,7.28,42.19,6.95,1492.85,1.82,45.91,6.5
1989,17.43,22.49,17.02,133.79,0.41,1690.92,3.79,47.82,8.3
1990,16.48,-5.45,9.62,-43.48,6.86,1854.79,2.48,57.37,8.7
1991,18.86,14.44,12.79,32.95,6.07,2161.78,3.15,65.9,8.5
1992,15.22,-19.3,13.43,5,1.79,2663.81,2.78,78.82,7.1
1993,27.37,79.83,18.25,35.89,9.12,3533.4,2.98,86.56,10.2
1994,34.33,25.43,25.06,37.32,9.27,4819.8,4.48,118.93,9.1
1995,39.11,13.92,31.71,26.54,7.4,6079.4,4.36,147.24,7.6
1996,30.95,-20.86,22.47,-29.14,8.48,7117.7,2.62,171.68,6
1997,43.1,39.26,32.42,44.28,10.68,7897.3,3.4,207.24,7.3
1998,45.66,5.94,42.48,31.03,3.18,8440.2,4.17,207.42,10.9
1999,30.05,-34.19,36.45,-14.19,-6.4,8967.7,3.36,220.96,11.2
2000,24.92,-17.07,35.01,-3.95,-10.09,9921.5,2.92,279.56,9.2
2001,25.16,0.96,31.28,-10.65,-6.12,10965.5,2.36,299.41,7.5
2002,60.87,141.93,69.67,122.73,-8.8,12033.3,4.79,365.4,7.89
2003,101.54,66.81,98.13,40.85,3.41,13582.3,5.98,485,6.85
2004,205.97,102.85,190.24,93.87,15.73,15987.8,9.85,655,3.19
2005,281.05,36.45,271.59,42.76,9.46,18493.74,12.03,836.8,3.07
2006,385.43,37.14,365.15,34.45,20.28,21631.44,13.46,1061.68,2.09
2007,500.2,29.78,479.81,31.4,20.39,26581.03,13.73,1342.2,1.98
2008,575.9,15.13,557.16,16.12,18.74,31404.5,12.32,1581.7,1.78
2009,387.52,-32.71,390.85,-29.85,-3.33,34090.28,7.83,1332.9,2.87
2010,679.25,75.28,611.93,56.56,67.32,40151.3,10.32,1876.8,1.63
2011,773.31,13.85,682.51,11.53,90.8,47156.4,9.35,2086.6,1.72
