Date,Value
2013-10-22,1159699.0084891
2013-10-21,979061.3851226
2013-10-20,691056.4816408
2013-10-19,1066912.8245079
2013-10-18,880504.60423908
2013-10-17,912009.37428449
2013-10-16,1024516.320827
2013-10-15,822209.76562764
2013-10-14,963077.95496124
2013-10-13,637885.77989021
2013-10-12,715254.46581199
2013-10-11,870771.61750402
2013-10-10,824938.13811387
2013-10-09,862761.01952325
2013-10-08,707716.71270987
2013-10-07,595294.06647493
2013-10-06,410691.01492775
2013-10-05,550816.63170523
2013-10-04,829560.5917383
2013-10-03,1108953.947832
2013-10-02,1095329.7288948
2013-10-01,1039752.2578379
2013-09-30,691501.31743362
2013-09-29,560375.15830447
2013-09-28,592862.75683601
2013-09-27,718883.77339298
2013-09-26,717166.13707343
2013-09-25,842440.85851675
2013-09-24,1095771.9740591
2013-09-23,783517.99850009
2013-09-22,458740.47061957
2013-09-21,522574.76480592
2013-09-20,793416.42300704
2013-09-19,785082.70419752
2013-09-18,788617.12988651
2013-09-17,672793.43346487
2013-09-16,585717.36802606
2013-09-15,410950.21406126
2013-09-14,606148.19325209
2013-09-13,734589.31049893
2013-09-12,663689.95026129
2013-09-11,806718.31840763
2013-09-10,1092297.075193
2013-09-09,527143.17610129
2013-09-08,409117.85233748
2013-09-07,667774.78390001
2013-09-06,838119.74774507
2013-09-05,858463.1278982
2013-09-04,895742.78513451
2013-09-03,894041.0108259
2013-09-02,748660.79342795
2013-09-01,1115472.5446585
2013-08-31,753757.54758262
2013-08-30,727229.97617503
2013-08-28,817469.6983238
2013-08-27,895651.78345485
2013-08-26,642473.93722183
2013-08-25,565019.38827375
2013-08-24,622248.64203289
2013-08-23,828835.1011676
2013-08-22,890014.51746532
2013-08-21,1186924.1021341
2013-08-20,955506.83403017
2013-08-19,1086202.6959512
2013-08-18,831928.9473171
2013-08-17,983013.8618176
2013-08-16,1099833.8092786
2013-08-15,923708.57489509
2013-08-14,1405350.2674548
2013-08-13,1301211.2676984
2013-08-12,731015.44224067
2013-08-11,432494.38962737
2013-08-10,526410.92720042
2013-08-09,640799.0042447
2013-08-08,785257.10857175
2013-08-07,805001.56094153
2013-08-06,749616.26563244
2013-08-05,795629.12536908
2013-08-04,501888.05174704
2013-08-03,738992.07367583
2013-08-02,906937.48793195
2013-08-01,1103374.377677
2013-07-31,878724.11040304
2013-07-30,881026.57310193
