Date,Value
2013-10-22,195.95762
2013-10-21,190.64537
2013-10-20,181.53101
2013-10-19,178.48081
2013-10-18,160.62448
2013-10-17,153.40576
2013-10-16,157.2206
2013-10-15,152.25552
2013-10-14,149.41995
2013-10-13,143.33601
2013-10-12,141.42238
2013-10-11,140.64634
2013-10-10,140.21331
2013-10-09,138.85832
2013-10-08,136.73281
2013-10-07,137.10394
2013-10-06,136.21887
2013-10-05,137.38172
2013-10-04,133.59297
2013-10-03,125.00449
2013-10-02,128.25736
2013-10-01,141.62903
2013-09-30,142.73791
2013-09-29,143.53453
2013-09-28,139.72007
2013-09-27,137.75911
2013-09-26,136.10723
2013-09-25,136.06683
2013-09-24,133.69101
2013-09-23,133.61771
2013-09-22,132.90102
2013-09-21,134.22792
2013-09-20,134.91019
2013-09-19,138.83326
2013-09-18,140.10618
2013-09-17,139.11795
2013-09-16,139.54818
2013-09-15,137.41171
2013-09-14,140.27874
2013-09-13,141.62301
2013-09-12,140.76378
2013-09-11,133.93903
2013-09-10,133.19442
2013-09-09,128.96113
2013-09-08,127.218
2013-09-07,126.10718
2013-09-06,131.94775
2013-09-05,133.57982
2013-09-04,143.99611
2013-09-03,145.01891
2013-09-02,145.33931
2013-09-01,144.56323
2013-08-31,140.39747
2013-08-30,134.92093
2013-08-28,129.98599
2013-08-27,127.18842
2013-08-26,121.87772
2013-08-25,120.76731
2013-08-24,119.04343
2013-08-23,120.45979
2013-08-22,122.50085
2013-08-21,122.16599
2013-08-20,119.97866
2013-08-19,118.10597
2013-08-18,113.38927
2013-08-17,110.67226
2013-08-16,109.87746
2013-08-15,111.75481
2013-08-14,111.46537
2013-08-13,107.03272
2013-08-12,104.49856
2013-08-11,103.66512
2013-08-10,103.11476
2013-08-09,103.4481
2013-08-08,103.52903
2013-08-07,106.06197
2013-08-06,106.54382
2013-08-05,106.13903
2013-08-04,104.50441
2013-08-03,103.79108
2013-08-02,104.62145
2013-08-01,106.13525
2013-07-31,107.96169
2013-07-30,101.71264
2013-07-29,100.22914
2013-07-28,96.64393
2013-07-27,94.71152
2013-07-26,96.44437
2013-07-25,95.42348
2013-07-24,94.30117
2013-07-23,93.68958
2013-07-22,90.80899
2013-07-21,89.95843
2013-07-20,92.54151
2013-07-19,90.70776
2013-07-18,91.31361
2013-07-17,98.10521
2013-07-16,98.47207
2013-07-15,97.19351
2013-07-14,96.17577
2013-07-13,92.57212
2013-07-12,96.10023
2013-07-11,85.52658
2013-07-10,77.2335
2013-07-09,75.56044
2013-07-08,75.87392
2013-07-07,69.02786
2013-07-06,69.70287
2013-07-05,74.25453
2013-07-04,78.97113
2013-07-03,87.02898
2013-07-02,89.56544
2013-07-01,94.35016
2013-06-30,96.07098
2013-06-29,96.0465
2013-06-28,98.90943
2013-06-27,103.27516
2013-06-26,103.76724
2013-06-25,104.16325
2013-06-24,104.25029
2013-06-23,107.79626
2013-06-22,108.92411
2013-06-21,111.10195
2013-06-20,110.32526
2013-06-19,107.54956
2013-06-18,106.25666
2013-06-17,100.7685
2013-06-16,100.16352
2013-06-15,100.63417
2013-06-14,102.35923
2013-06-13,108.94413
2013-06-12,109.12762
2013-06-11,106.2615
2013-06-10,103.29267
2013-06-09,96.83872
2013-06-08,109.82333
2013-06-07,114.36365
2013-06-06,121.4591
2013-06-05,121.20351
2013-06-04,121.48543
2013-06-03,119.09414
2013-06-02,122.46257
2013-06-01,128.37584
2013-05-31,128.5057
2013-05-30,131.12181
2013-05-29,129.04421
2013-05-28,128.13203
2013-05-27,134.00382
2013-05-26,133.14468
2013-05-25,131.70002
2013-05-24,128.3434
2013-05-23,124.53269
2013-05-22,122.72872
2013-05-21,122.1923
2013-05-20,122.10098
2013-05-19,122.70054
2013-05-18,123.41201
2013-05-17,119.49063
2013-05-16,114.42047
2013-05-15,111.55342
2013-05-13,116.44916
2013-05-12,114.93561
2013-05-11,116.78895
2013-05-10,117.1565
2013-05-09,112.92582
2013-05-08,111.78448
2013-05-07,108.51747
2013-05-06,119.70893
2013-05-05,113.08898
2013-05-04,102.08299
2013-05-03,95.00099
2013-05-02,110.05182
2013-05-01,131.876
2013-04-30,142.23439
2013-04-29,140.37754
2013-04-28,130.58545
2013-04-27,134.98345
2013-04-26,135.2309
2013-04-25,153.06395
2013-04-24,149.92694
2013-04-23,130.14464
2013-04-22,120.94339
2013-04-21,125.37954
2013-04-20,119.87748
2013-04-19,115.26996
2013-04-18,92.1943
2013-04-17,79.94208
2013-04-16,110.34214
2013-04-15,110.34214
2013-04-14,110.34214
2013-04-13,106.76121
2013-04-12,83.66403
2013-04-11,159.82983
2013-04-10,237.56729
2013-04-09,201.34118
2013-04-08,176.92779
2013-04-07,151.24731
2013-04-06,142.34668
2013-04-05,136.41291
2013-04-04,128.37969
2013-04-03,126.30169
2013-04-02,104.79261
2013-04-01,97.5172
2013-03-31,92.47568
2013-03-30,90.4329
2013-03-29,87.70095
2013-03-28,91.48657
2013-03-27,83.31407
2013-03-26,76.59216
2013-03-25,73.29676
2013-03-24,65.07712
2013-03-23,65.34818
2013-03-22,72.00271
2013-03-21,66.98106
2013-03-20,60.00443
2013-03-19,52.76516
2013-03-18,47.5382
2013-03-17,47.33354
2013-03-16,46.82327
2013-03-15,47.13189
2013-03-14,47.28937
2013-03-13,45.69083
2013-03-12,44.0596
2013-03-11,46.99204
2013-03-10,47.05404
2013-03-09,44.87112
2013-03-08,42.48205
2013-03-07,42.5578
2013-03-06,44.2658
2013-03-05,38.56574
